year,cat_num,entries,cat_name,gold_beer,gold_brewery,gold_city,gold_state,silver_beer,silver_brewery,silver_city,silver_state,bronze_beer,bronze_brewery,bronze_city,bronze_state
1999,5.0,20.0,Raspberry Beers,Widmer Widberry,Widmer Brothers Brewing,Portland,OR,Railway Razz,Willoughby Brewing,Willoughby,OH,Blackberry Beauty,Bill's Tavern & Brewhouse,Cannon Beach,OR
1999,9.0,28.0,Specialty Honey Beer,Nayati's Honey Ale,Wolf Canyon Brewing Company,Santa Fe,NM,Gandy Dancer Honey Ale,Flossmoor Station,Flossmoor,IL,Garden Party Elixir,Bill's Tavern & Brewhouse,Cannon Beach,OR
1999,46.0,24.0,Classic Irish-Style Dry Stout,Dark Starr,Starr Hill Brewing,Charlottesville,VA,Iron House Stout,Red Star Brewery,Greensburg,PA,Reverend Sandi's Sinful Stout,Oskar Blues,Lyons,CO
1999,30.0,38.0,Classic English-Style Pale Ale,Denver Pale Ale,Great Divide Brewing,Denver,CO,Flying Dog Doggie Style,Broadway Brewing,Denver,CO,London Bridge Pale Ale,Arizona Roadhouse and Brewery,Tempe,AZ
1999,47.0,26.0,Foreign-Style Stout,Zonker Stout,Snake River Brewing,Jackson,WY,Obsidian Stout,Deschutes Brewery,Bend,OR,West Brothers Stout,West Brothers Brewery,Eugene,OR
1999,37.0,27.0,Irish-Style Red Ale,Scarab Red,Oasis Brewery,Boulder,CO,Fatty Rice Irish Ale,Il Vicino Brewing,Colorado Springs,CO,Badger Red Ale,J.T. Whitney's Pub & Brewery,Madison,WI
1999,50.0,21.0,English Old Ale / English Strong Ale,Anniversary Ale,Steelhead Brewery,Eugene,OR,Cabin Fever Winter Ale,Boundary Bay Brewery,Bellingham,WA,Special Old Ale,Commonwealth Brewing,Boston,MA
1999,40.0,27.0,German-Style Brown Ale / Düsseldorf-Style Altbier,Otis Alt,Elk Grove Brewery,Elk Grove,CA,Spalty Alt,Red Rock Brewing,Salt Lake City,UT,Old 8444,Union Colony Brewery,Greeley,CO
1999,54.0,46.0,Barley Wine-Style Ale,Old Gander Barley Wine Ale,Snow Goose Restaurant and Sleeping Lady Brewing Company,Anchorage,AK,Full Sail Boardhead Barleywine Ale,Full Sail Brewing,Portland,OR,Old Scratch's Wicked Stepmother,Great Dane Pub,Madison,WI
1999,49.0,47.0,Oatmeal Stout,Blast Furnace Stout,Church Brew Works,Pittsburgh,PA,Farmer Jon's Oatmeal Stout,Heartland Brewery,New York,NY,Ohio City Oatmeal Stout,Great Lakes Brewing,Cleveland,OH
1999,24.0,10.0,American Dark Lager,,,,,Boiler Room Dark Lager,Colorado Belle,Laughlin,NV,Black Star Black Lager,Great Northern Brewing,Whitefish,MT
1999,27.0,23.0,German-Style Dopplebock,Hogback Doppelbock,Mountain Sun Pub,Boulder,CO,,,,,Dopplebock,H.C. Berger Brewing,Fort Collins,CO
1999,8.0,26.0,Specialty Beer,Island City Wild Rice Lager,Minocqua Brewing Company,Minocqua,WI,Erie Nights Pumpkin Brew,Crooked River Brewing,Cleveland,OH,Captain Smith's Rye,Titanic Brewing,Coral Gables,FL
1999,25.0,16.0,German-Style Schwarzbier,Black Hole Lager,Brew Moon,Braintree,MA,Kings Peak,Uinta Brewing,Salt Lake City,UT,Schwarzbier,Three Needs,Burlington,VT
1999,20.0,25.0,Vienna-Style Lager,Iron Range Amber Lager,James Page Brewing,Minneapolis,MN,Snake River Lager,Snake River Brewing,Jackson,WY,Vienna,Iron Hill Brewery,West Chester,PA
1999,31.0,118.0,India Pale Ale,Racer 5 IPA,Bear Republic Brewing,Healdsburg,CA,Marin IPA,Marin Brewing,Larkspur,CA,Lucknow India Pale Ale,Castle Springs Brewing,Moultonborough,NH
1999,38.0,61.0,English-Style Brown Ale,Offshore Nut Brown,Offshore Ale Company,Oak Bluffs,MA,Nut Brown Ale,Park Slope Brewing Company,Brooklyn,NY,Old Elk Brown,Walnut Brewery,Louisville,CO
1999,39.0,38.0,American-Style Brown Ale,Doryman's Dark Ale,Pelican Pub,Pacific City,OR,Emerald Irish Ale,Steelhead Brewery,Burlingame,CA,Burly Brown Ale,James Page Brewing,Minneapolis,MN
1999,6.0,3.0,Chocolate / Cocoa Flavored Beer,,,,,,,,,Chocolate Thunder Porter,Watch City Brewing Company,Waltham,MA
1999,33.0,95.0,American-Style Amber / Red Ale,Red Nectar,Humboldt Brewery,Arcata,CA,Capstone ESB,Oasis Brewery,Boulder,CO,Believer's Bitter,Angelic Brewing,Madison,WI
1999,34.0,34.0,English-Style Bitter,,,,,Dergy's Amber,Wilmington Brewing Company,Wilmington,NC,Red Butte Bitter,Desert Edge Brewery,Salt Lake City,UT
1999,43.0,33.0,Belgian and French-Style Specialty Ales,Waterloo Grand Cru,Waterloo Brewing Company,Austin,TX,Western Reserve Cloud Nine,Western Reserve Brewing,Cleveland,OH,La Conner Red,La Conner Brewing Company,La Conner,WA
1999,22.0,51.0,German-Style Märzen / Oktoberfest,Black Forest Oktoberfest,Black Forest Brew Haus LLC.,Farmingdale,NY,Atwater Blocktoberfest,Atwater Block Brewery,Detroit,MI,Tabernash Oktoberfest,Tabernash Brewing,Longmont,CO
1999,53.0,38.0,Other Strong Ale or Lager,Dragontooth Stout,Elysian Brewery,Seattle,WA,Ricardo's Red Rocket,Bear Republic Brewing,Healdsburg,CA,Bell's Expedition Stout,Kalamazoo Brewing,Kalamazoo,MI
1999,1.0,6.0,Non-Alcoholic (Beer) Malt Beverages,Old Milwaukee NA,The Stroh Brewery Company,Fogelsville,PA,,,,,O'Doul's,Anheuser-Busch,St. Louis,MI
1999,21.0,22.0,American-Style Amber Lager,New South Oktoberfest,New South Brewing,Myrtle Beach,SC,Auburn,Mad Anthony Brewing,Ft. Wayne,IN,Oktoberfest,T-Bonz Homegrown Ales,Myrtle Beach,SC
1999,52.0,22.0,Imperial Stout,Old Rasputin,North Coast Brewing,Fort Bragg,CA,John Wayne Imperial Stout,Newport Beach Brewing,Newport Beach,CA,Fat Cat,Liberty Street Brewing Company,Akron,OH
1999,11.0,17.0,Smoke Beer,DeGroen's Rauchbock,Baltimore Brewing,Baltimore,MD,Georgia Smoke,John Harvard's Brew House,Wayne,PA,Watson's Smoked Porter,Watson Brothers Brewhouse,Cincinnati,OH
2000,42.0,76.0,German-Style Wheat Ale,Penn Weizen,Pennsylvania Brewing,Pittsburgh,PA,Brewmaster Select Hefeweizen,Station Casinos Breweries / Barley’s Casino & Brewing Company,Henderson,NV,Double Play Dunkelweizen,Leinenkugel Brewing,Phoenix,AZ
2000,41.0,30.0,German-Style Brown Ale / Dusseldorf-Style Altbier,Boca Alt,Brewzzi,Boca Raton,FL,Alt Who Goes There?,General Lafayette Inn & Brewery,Lafayette Hill,PA,Dornbusch Alt,Dornbusch Brewing Co.,Ipswich,MA
2000,34.0,69.0,American-Style Amber / Red Ale,Ruedrich's Red Seal Ale,North Coast Brewing,Fort Bragg,CA,Shark Bite Red,Pizza Port,Carlsbad,CA,Ragtop Red,Rock Bottom,La Jolla,CA
2000,54.0,27.0,Other Strong Ale or Lager,Double Ice Bock,Southampton Publick House,Southampton,NY,Wee Heavy Scotch Ale,Steelhead Brewery,Eugene,OR,Thunderhead Schwarzbier,Rio Salado Brewing Company,Tempe,Arizona
2000,8.0,28.0,Specialty Beer,Aztec Amaranth Ale,Bulldog Brewing Co.,Fresno,CA,Captain Smith's Rye,Titanic Brewing,Coral Gables,FL,Pullman Brown Ale,Flossmoor Station,Flossmoor,IL
2000,43.0,38.0,Belgian-Style Ales,Abbey Belgian Style Ale,New Belgium Brewing,Fort Collins,CO,Victoria's Triple Belgian,Humboldt Brewery,Arcata,CA,Bridal Veil Ale,BJ's Pizza Grill & Brewery,Brea,CA
2000,31.0,27.0,English-Style India Pale Ale,Goose Island IPA,Goose Island Beer Co.,Chicago,IL,Hop Daddy IPA,Main Street Brewery,Corona,CA,Renegade IPA,Buckhead Brewery & Grill,Stockbridge,GA
2000,10.0,34.0,Experimental Beer,Boscos Juniper Stone Beer,Boscos Brewing,Memphis,TN,Cuvee de Tomme,Pizza Port,Solana Beach,CA,Juniper Rye,BJ's Pizza Grill & Brewery,Brea,CA
2000,48.0,21.0,Foreign-Style Stout,Tsunami Stout,Pelican Pub,Pacific City,OR,Moose Juice Stout,Otto Brothers Brewing Co.,Victor,ID,Swollen Delta Stout,Redfish New Orleans Brewhouse,Boulder,CO
2000,49.0,18.0,Sweet Stout,Black Pearl Stout,Main Street Brewery,Corona,CA,Saint Arnold Winter Stout,Saint Arnold Brewing,Houston,TX,Iron Horse Stout,Big River Grille,Chattanooga,TN
2000,28.0,47.0,Golden Ale / Canadian-Style Ale,Kiwanda Cream Ale,Pelican Pub,Pacific City,OR,Alpine Gold,Tied House Cafe,Mountain View,CA,Clipper City Chesapeake Gold Ale,Clipper City Brewing,Baltimore,MD
2000,36.0,41.0,English-Style (Extra Special) Strong Bitter,Alembic Pale,Elliott Bay Brewing,Seattle,WA,Special Old Bitter,Hyde Park Brewing Co.,Hyde Park,NY,Brown's Point Bitter,Harmon Restaurant & Brewery,Tacoma,WA
2000,40.0,39.0,American-Style Brown Ale,American Brown,C. H. Evans Brewing,Albany,NY,Hogans Park Ave. Ale,Custom Brew Crafters,Honeoye Falls,NY,Brooklyn Brown Ale,Brooklyn Brewery,Brooklyn,NY
2000,51.0,23.0,English Old Ale / English & American Strong Ales,Old Charleywine,Mammoth Brewing,Mammoth,CA,Powerhouse Ale,The Powerhouse Brewing Co.,Sebastopol,CA,Old Hand,Colorado Brewery & Trading Co.,Danbury,CT
2000,12.0,36.0,German-Style Pilsener,Perkiomen Pils,New Road Brew House,Collegeville,PA,This Is The Pilsner,Hoppers Grill & Brewery,Midvale,UT,Blue Paddle Pilsner,New Belgium Brewing,Fort Collins,CO
2000,17.0,26.0,American Lager,Rainer,G. Heileman Brewing,Fogelsville,PA,Miller Genuine Draft,Miller Brewing,Milwaukee,WI,Red Dog,Plank Road Brewery,Milwaukee,WI
2000,6.0,10.0,Chocolate / Cocoa Flavored Beer,Ghirardelli Square Chocolate Stout,Steelhead Brewery,Burlingame,CA,Chocolate Stout,Rogue Ales,Newport,OR,Jurupa Valley Stout,Jurupa Valley Brewing Co.,Riverside,CA
2000,44.0,27.0,Belgian- & French-Style Specialty Ales,Cherry Lambic,Commonwealth Brewing,New York,NY,Saison L' Ete,Willoughby Brewing,Willoughby,OH,La Folie,New Belgium Brewing,Fort Collins,CO
2000,13.0,32.0,Bohemian-Style Pilsener,,,,,Czech Mate Pils,Brew Moon,Needham,MA,Full Sail Pilsner,Full Sail Brewing,Hood River,OR
2000,32.0,104.0,American-Style Pale Ale,Telemark IPA,Backcountry Brewery,Frisco,CO,Mad Hatter Ale,New Holland Brewing,Holland,MI,New River Pale Ale,New River Brewing,Blacksburg,VA
2000,18.0,17.0,American-Style Premium Lager,Stroh Lager,Stroh Brewery,Fogelsville,PA,Schlitz Malt Liquor,Schlitz Brewing,Fogelsville,PA,New South Lager Beer,New South Brewing,Myrtle Beach,SC
2000,30.0,34.0,Classic English-Style Pale Ale,Custer's Last Ale,Snake River Brewing,Jackson,WY,Pick Axe Pale Ale,Tommyknocker Brewery,Idaho Springs,CO,New South Pale Ale,New South Brewing,Myrtle Beach,SC
2000,19.0,18.0,American-Style Specialty Lager,Bull Ice,Schlitz Brewing,Fogelsville,PA,St. Ides Malt Liquor,St. Ides Brewing,Fogelsville,PA,Scrimshaw Beer,North Coast Brewing,Fort Bragg,CA
2000,33.0,89.0,American-Style India Pale Ale,IPA,SLO Brewing,San Luis Obispo,CA,Torrey Pines IPA,Stuft Pizza & Brewing Co.,San Diego,CA,Hoptown IPA,Hoptown Brewing,Pleasanton,CA
2000,45.0,58.0,Robust Porter,Lazy Jake Porter,Long Valley Pub,Long Valley,NJ,Robust Porter,Crooked River Brewing,Cleveland,OH,Lucknow Porter,Castle Springs Brewing,Moultonborough,NH
2000,50.0,40.0,Oatmeal Stout,Main Line Oatmeal Stout,John Harvard's Brew House,Framingham,MA,Oatmeal Stout,SLO Brewing,San Luis Obispo,CA,Black H20 Oatmeal Stout,Minneapolis Town Hall Brewery,Minneapolis,MN
2000,55.0,65.0,Barley Wine-Style Ale,Old No. 27 Barley Wine,Delafield Brewhaus,Delafield,WI,Stone Old Guardian,Stone Brewing,San Marcos,CA,Blunderbuss Barleywine,Cambridge Brewing,Cambridge,MA
2000,38.0,29.0,Irish-Style Red Ale,Jurupa Valley Red Ale,Jurupa Valley Brewing Co.,Riverside,CA,Raptor Red,Rock Bottom,Phoenix,AZ,Badger Red Ale,J.T. Whitney's Pub & Brewery,Madison,WI
2000,22.0,52.0,German-Style Märzen / Oktoberfest,Red Oktober,Salem Beer Works,Salem,MA,Great Dane Oktoberfest,The Great Dane Pub,Madison,WI,Bittings Bad Boy,J.J. Bitting Brewing Co.,Woodbridge,NJ
2000,3.0,49.0,American-Style Wheat Ale or Lager,High Rollers Wheat Beer,Anderson Valley Brewing,Boonville,CA,Weiss Guy Wheat,Alcatraz Brewing Co.,Littleton,CO,Choc,Pete's Place,Krebs,OK
2000,26.0,26.0,Bock,Framingham Bock,John Harvard's Brew House,Boston,MA,Mad Brewer Maibock,Church Brew Works,Pittsburgh,PA,Maibock,Iron Hill Brewery,Newark,DE
2000,14.0,25.0,Munich-Style Helles,Golden Eagle Lager,Rocky River Brewing,Sevierville,TN,Helles or High Water,Brewzzi,Boca Raton,FL,Lodestone Lager,Iron Hill Brewery,Media,PA
2000,2.0,16.0,American-Style Lager/Ale or Cream Ale,California Gold,Stuft Pizza & Brewing Co.,San Diego,CA,Lodgepole Light,Prescott Brewing,Prescott,AZ,Lucknow Blonde Ale,Castle Springs Brewing,Moultonborough,NH
2000,35.0,31.0,English-Style Bitter,Cutthroat Ale,Uinta Brewing,Salt Lake City,UT,8th Street Ale,Four Peaks Brewing,Tempe,AZ,Long Valley Best Bitter,Long Valley Pub,Long Valley,NJ
2000,21.0,24.0,American-Style Amber Lager,Steam Engine Steam,Steamworks Brewing,Durango,CO,,,,,,,,
2000,47.0,27.0,Classic Irish-Style Dry Stout,Murphy's Dry Stout,Humperdinks Big Horn Brewing,Lakewood,WA,Black Magic Stout,Empire Brewing Co. of Rochester,Rochester,NY,Dark Starr Stout,Starr Hill Brewing,Charlottesville,VA
2000,46.0,38.0,Brown Porter,Black Jack Porter,Left Hand Brewing Co.,Longmont,CO,Sweetwater Exodus Porter,Sweetwater Brewing,Atlanta,GA,Sierra Nevada Porter,Sierra Nevada Brewing,Chico,CA
2000,16.0,22.0,American-Style Light Lager,Bud Light,Anheuser-Busch,St. Louis,MO,Stroh Light,Stroh Brewery,Fogelsville,PA,Schaefer Light,Schaefer Brewing,Fogelsville,PA
2000,23.0,20.0,European-Style Dark / Münchner,Black Forest,Valhalla Microbrewery,Pittsburgh,PA,Slam Dunkel,Great Basin Brewing,Sparks,NV,,,,
2000,24.0,13.0,American-Style Dark Lager,H. Saxer Dark Lager,Portland Brewing,Portland,OR,Henry Weinhard's Dark,Blitz-Weinhard Brewing,Tumwater,WA,Michelob Amber Bock,Anheuser-Busch,St. Louis,MO
2000,1.0,5.0,Non-Alcoholic (Beer) Malt Beverages,,,,,Pabst NA,Pabst Brewing,Fogelsville,PA,O'Doul's Amber,Anheuser-Busch,St. Louis,MO
2000,4.0,27.0,Fruit Beers (Other than Raspberry),Fuzzy Buzz Peach Ale,Copper Tank Brewing Co.,Dallas,TX,Orange Grove Ale,Craftsman Brewing Co.,Pasadena,CA,One Ton Blackberry Ale,Third Street Ale Works,Santa Rosa,CA
2000,29.0,47.0,German-Style Kölsch / Köln-Style Kölsch,Alcatraz Kolsch,Alcatraz Brewing Co.,Indianapolis,IN,Triple Screw Light Ale,Titanic Brewing,Coral Gables,FL,Saint Arnold Fancy Lawnmower Beer,Saint Arnold Brewing,Houston,TX
2000,7.0,44.0,Herb and Spice Beer,Cambridge Espresso Stout,John Harvard's Brew House,Boston,MA,Santa's Lil' Helper,Rocky River Brewing,Rocky River,OH,Stumblin Monk,Alesmith Brewing Co.,San Diego,CA
2000,37.0,29.0,Scottish-Style Ale,Laughing Lab Scottish Ale,Bristol Brewing,Colorado Springs,CO,Caber Tossing Scottish Ale,Fox River Brewing,Oshkosh,WI,Saint Arnold Oktoberfest,Saint Arnold Brewing,Houston,TX
2000,5.0,24.0,Raspberry Beers,Raspberry Leghumper,Thirsty Dog Brewing,Canton,OH,Raspberry Weiss,Water Street Brewery,Milwaukee,WI,Railway Razz,Willoughby Brewing,Willoughby,OH
2000,25.0,12.0,German-Style Schwarzbier,King's Peak,Uinta Brewing,Salt Lake City,UT,Red Rock Black Bier,Red Rock Brewing,Salt Lake City,UT,Black Forest Schwarzbier,Squatters,Salt Lake City,UT
2000,27.0,13.0,German-Style Doppelbock,Hog Back Doppel Bock,Mountain Sun Pub,Boulder,CO,Symposium Eisbock,New Glarus Brewing,New Glarus,WI,Mueller Doppelbock,Springfield Brewing,Springfield,MO
2000,52.0,19.0,Strong Scotch Ale,Winter Ale,Buckhead Brewery & Grill,Stockbridge,GA,Prescott's Wee Heavy,Bitter End,Austin,TX,McGilligan's Scotch Ale,Steelhead Brewery,San Francisco,CA
2000,15.0,23.0,European-Style Pilsener,Olde Buzzard Lager,Buzzards Bay Brewing,Westport,MA,Pinch Hit Pilsner,Sandlot Brewery,Denver,CO,Dortmunder,The Powerhouse Brewing Co.,Sebastopol,CA
2000,11.0,18.0,Smoke Beer,DeGroen's Rauchbock,Baltimore Brewing,Baltimore,MD,Smoke,Rogue Ales,Newport,OR,Alaskan Smoked Porter,Alaskan Brewing,Juneau,AK
2000,39.0,60.0,English-Style Brown Ale,Ghost Town Brown,5280 Roadhouse Brewery,Littleton,CO,Little Bandit Brown Ale,Northwoods Brewing Corp.,Eau Claire,WI,Twisted Brown Ale,Twisted Pine Brewing Co.,Boulder,CO
2000,53.0,25.0,Imperial Stout,Stone House Imperial Stout,Gilded Otter Brewing Co.,New Paltz,NY,Hoptown Old Yeltsin Imperial Stout,Hoptown Brewing,Pleasanton,CA,Imperial Stout,Two Rows Restaurant & Brewery,Dallas,TX
2000,9.0,22.0,Specialty Honey Beer,Bumble Beer,Rock Bottom,La Jolla,CA,Honey Bee Damned Ale,P.H. Woods Restaurant,Moreno Valley,CA,Countdown Honey Brown,Thunder Canyon Brewery,Tucson,AZ
2000,20.0,26.0,Vienna-Style Lager,Snake River Lager,Snake River Brewing,Jackson,WY,Sunset Amber,Coast Brewing,Biloxi,MS,Stoudt's Fest,Stoudt's Brewing,Adamstown,PA
2001,31.0,24.0,English-Style India Pale Ale,SLO Progress,SLO Brewing,San Luis Obispo,CA,Hoppyhour IPA,The Mash House Restaurant & Brewing Company -,Fayetteville,NC,India Pale Ale,Goose Island Beer Co.,Chicago,IL
2001,32.0,105.0,American-Style Pale Ale,SLO Brewing Co Extra Pale Ale,SLO Brewing,Paso Robles,CA,Emmett's Pale Ale,Emmett's Tavern,West Dundee,IL,Mad Hatter Ale,New Holland Brewing,Holland,MI
2001,51.0,36.0,Imperial Stout,Raven Maniac Stout,Prescott Brewing,Prescott,AZ,High Desert Imperial Stout,Sweetwater Brewing,Centreville,VA,Old Rasputin,North Coast Brewing,Fort Bragg,CA
2001,25.0,22.0,German-Style Schwarzbier,Black Forest Schwarzbier,Squatters,Salt Lake City,UT,Springfield Schwarz Beer,John Harvard's Brew House,Wayne,PA,King's Peak,Uinta Brewing,Salt Lake City,UT
2001,46.0,32.0,Brown Porter,MacTarnahan's Black Watch Cream Porter,Portland Brewing,Portland,OR,Molly's Titanic Brown Ale,Rock Bottom,Denver,CO,Paradise Lost Porter,Angelic Brewing,Madison,WI
2001,7.0,29.0,Herb and Spice Beer,Orange Infusion,Elliott Bay Brewing,Seattle,WA,Holiday Spiced Ale,21st Amendment,San Francisco,CA,Cambridge Espresso Stout,John Harvard's Brew House,Braintree,MA
2001,27.0,20.0,German-Style Doppelbock,Scapegoat Doppelbock,Mickey Finn's Brewery,Libertyville,IL,Liberator Doppelbock,Angelic Brewing,Madison,WI,Bell's Consecrator Dopplebock,Kalamazoo Brewing,Kalamazoo,MI
2001,43.0,50.0,Belgian-Style Ale,Trippel Belgian Style Ale,New Belgium Brewing,Fort Collins,CO,Damnation,Russian River Brewing,Guerneville,CA,Abbey Belgian Style Ale,New Belgium Brewing,Fort Collins,CO
2001,10.0,35.0,Experimental Beer,Czar Jack Bourbon Barrel Imperial Stout,Minneapolis Town Hall Brewery,Minneapolis,MN,Cuvee de Tomme,Pizza Port,Solana Beach,CA,Special Brew Lemon Lime,St. Ides Brewing,Milwaukee,WI
2001,40.0,46.0,American-Style Brown Ale,American Brown,Hub City Brewery,Lubbock,TX,Nut Brown,Red Rock Brewing,Salt Lake City,UT,Midtown Brown,Boscos Brewing,Memphis,TN
2001,19.0,24.0,American-Style Specialty Lager,New South Lager,New South Brewing,Myrtle Beach,SC,Old Milwaukee Ice,Stroh Brewery,Fogelsville,PA,St. Ides Malt Liquor,St. Ides Brewing,Fogelsville,PA
2001,38.0,29.0,Irish-Style Red Ale,3A - Abigail Adams Amber,Quincy Ships Brewing Company,Quincy,MA,Thoroughbred Red,Aiken Brewing,Aiken,SC,Starr Hill Amber Ale,Starr Hill Brewing,Charlottesville,VA
2001,22.0,49.0,German-Style Märzen / Oktoberfest,Uncle Otto's Oktoberfest,Portland Brewing,Portland,OR,Mueller Marzen,Springfield Brewing,Springfield,MO,Tabernash Oktoberfest,Tabernash Brewing,Longmont,CO
2001,13.0,36.0,Bohemian-Style Pilsener,Cleveland Chophouse Bohemian Pilsner,Cleveland ChopHouse and Brewery,Cleveland,OH,Pillage Pilsner,Valhalla Microbrewery,Pittsburgh,PA,Czech Mate Pils,Brew Moon,Brookline,MA
