location,lat,long
"Fat Head’s Brewery, Middleburg Heights",45,46
"E.J. Phair Brewing Co., Concord",46,47
"Christian Moerlein Brewing Co., Cincinnati",47,48
"The Sand, LotDenver",48,49
"Mayflower Brewing Co., Plymouth",49,50
"Ahnapee Brewery, Algoma",50,51
"High Falls Brewing, Rochester",51,52
"Rainier Brewing, Tumwater",52,53
"Del Norte Brewing Co., Denver",53,54
"CB & Potts Restaurant & Brewery, Fort CollinsFort Collins",54,55
"Stroh Brewery, Fogelsville",55,56
"Noble Ale Works, Anaheim",56,57
"Pete's Brewing, San Antonio",57,58
"Island Brewing, Carpinteria",58,59
"Thirsty Dog Brewing, Canton",59,60
"Rockyard Brewing Co., Castle Rock",60,61
"Summit Brewing, St Paul",61,62
"The Cambridge House, Granby",62,63
"Karl Strauss Brewing, San Diego",63,64
"Great Basin Brewing, Sparks",64,65
"Glenwood Canyon Brewing, Glenwood Springs",65,66
"Free State Brewing Co., Lawrence",66,67
"Boscos Brewing, Memphis/Nashville",67,68
"Schaefer Brewing, San Antonio",68,69
"Alvarado Street Brewery & Grill, Monterey",69,70
"Old Dominion Brewing, Dover",70,71
"Gordon Biersch Brewery, Annapolis",71,72
"Michigan Brewing, Webberville",72,73
"Snake River Brewing, Lander",73,74
"Brew Moon, Brookline",74,75
"903 Brewers, Sherman",75,76
"Rock Bottom, Englewood",76,77
"Redrock Brewery, Salt Lake City",77,78
"Redhook Ale Brewery, Portland",78,79
"Columbia River Brewing Co., Portland",79,80
"Elevator Brewing, Columbus",80,81
"Brooklyn Brewery, Brooklyn",81,82
"BJ's Restaurant & Brewery, Boulder",82,83
"Chama River Brewing, Albuquerque",83,84
"Oggi's Pizza and Brewing, San Diego",84,85
"Smiling Moose Brewpub & Grill, Greeley",85,86
"Karbach Brewing Co., Houston",86,87
"Third Street Ale Works, Santa Rosa",87,88
"Ghostfish Brewing Co., Seattle",88,89
"Atlanta Brewing Co., Atlanta",89,90
"RAM Restaurant & Brewery, Salem",90,91
"13 Virtues Brewing Co., Portland",91,92
"Ortlieb's Brewery & Grille, Pottstown",92,93
"AC Golden, Golden",93,94
"Silver City Brewery, Bremerton",94,95
"Jurupa Valley Brewing Co., Riverside",95,96
"Pelican Pub, Pacifi c City",96,97
"Deschutes Brewery, Bend",97,98
"Hoppers Brooker Creek Grille and Tap Room, Palm Harbor",98,99
"Armadillo Ale Works, Denton",99,100
"Wicked Weed Brewing, Asheville",100,101
"Fat Head’s Brewery - Portland, Portland",101,102
"Temperance Beer Co., Evanston",102,103
"Minnesota Brewing, St. Paul",103,104
"J.T. Whitney's Pub & Brewery, Madison",104,105
"Bluegrass Brewing Co., Louisville",105,106
"St. Ides Brewing, Milwaukee",106,107
"Sweetwater Brewing, Atlanta",107,108
"Iron Hill Brewery, MediaMedia",108,109
"Chicago Brewing, Las Vegas",109,110
"Taps Fish House and Brewery, Brea",110,111
"High Sierra Brewing Co., Carson City",111,112
"Rock Bottom, West Des Moines",112,113
"Ei8ht Ball Brewing, Newport",113,114
"RAM Restaurant & Brewery, Tacoma",114,115
"McCoy's Public House, Kansas City",115,116
"Flat Tail Brewing Co., Corvallis",116,117
"SandLot, Denver",117,118
"10 Barrel Brewing Co., Bend",118,119
"Hops Grillhouse and Brewery, Madison",119,120
"Rock Bottom, Bethesda",120,121
"The SandLot, Denver",121,122
"St. Ides Brewing, San Antonio",122,123
"Taxman Brewing Co., Bargersville",123,124
"Rabbit Hole Brewing, Justin",124,125
"The Lion Brewery, Wilkes-Barre",125,126
"MobCraft Beer, Madison",126,127
"Tröegs Brewing Co., Hershey",127,128
"Flying Dog Brewery, Frederick",128,129
"Buzzards Bay Brewing, Westport",129,130
"BJ's Restaurant & Brewery, Roseville/Portland/Huntington Beach",130,131
"Founders Brewing Co., Grand Rapids",131,132
"Broken Tooth Brewing, Anchorage",132,133
"Fort Point Beer Co., San Francisco",133,134
"McCoys Public House, Kansas City",134,135
"Terrapin Beer, Athens",135,136
"Brewer’s Alley Restaurant and Brewery, Frederick",136,137
"Summit Brewing, Saint Paul",137,138
"Überbrew, Billings",138,139
"General Lafayette Inn & Brewery, Lafayette Hill",139,140
"Oaken Barrel Brewing Co., Greenwood",140,141
"Garage Brewing Co. & Pizzeria, Temecula",141,142
"Green Flash Brewing Co., Vista",142,143
"Southampton Publick House, Southampton",143,144
"Triumph Brewing, Princeton",144,145
"The Post Brewing Co., Lafayette",145,146
"Liquid Mechanics Brewing Co., Lafayette",146,147
"CODA Brewing Co., Aurora",147,148
"Abita Brewing Co., Abita Springs",148,149
"Benchmark Brewing Co., San Diego",149,150
"Flat Branch Pub and Brewery, Columbia",150,151
"New Helvetia Brewing Co., Sacramento",151,152
"Devils Backbone Brewing, BasecampRoseland",152,153
"Shmaltz Brewing Co., San Francisco",153,154
"Haymarket Pub & Brewery, Chicago",154,155
"Prison City Brewing, Auburn",155,156
"DESTIHL, Normal",156,157
"Fonta Flora Brewery, Morganton",157,158
"Pyramid Ales & Lagers, Seattle",158,159
"Iron Hill Brewery, Philadelphia",159,160
"Twin Peaks Brewery, Irving",160,161
"Sand, LotDenver",161,162
"Lone Star Brewing, San Antonio",162,163
"Kane Brewing Co., Ocean",163,164
"CooperSmith’s Pub & Brewing Co., Fort Collins",164,165
"Neshaminy Creek Brewing, Croydon",165,166
"Trap Rock Restaurant and Brewery, Berkeley Heights",166,167
"Sixpoint Craft Ales, Brooklyn",167,168
"C.H. Evans Brewing Company, Albany",168,169
"Olde Hickory Brewery, Hickory",169,170
"Morgan Territory Brewing, Tracy",170,171
"C.B. & Potts, Fort Collins",171,172
"Port Brewing and The Lost Abbey, San Marcos",172,173
"Arizona Roadhouse and Brewery, Tempe",173,174
"Fitzpatrick's, Iowa City",174,175
"North Coast Brewing, Fort Bragg",175,176
"Ybor City Brewing Company, Tampa",176,177
"Alaskan Brewing, Juneau",177,178
"5280 Roadhouse Brewery, Littleton",178,179
"Cascade Brewery, Portland",179,180
"Oasis Texas Brewing Co., Austin",180,181
"The Grumpy Troll Restaurant & Brewery, Mount Horeb",181,182
"Rock Bottom, Denver",182,183
"RAM Restaurant & Brewery, IllinoisWheeling",183,184
"Ithaca Beer Co., Ithaca",184,185
"Two Brothers Brewing Co., Warrenville",185,186
"Union Colony Brewery, Greeley",186,187
"Wiseacre Brewing Co., Memphis",187,188
"Triumph Brewing, New Hope",188,189
"Dale Bros. Brewery, Upland",189,190
"Fat Heads Brewery, North Olmsted",190,191
"Russian River Brewing, Santa Rosa",191,192
"College Street Brewhouse & Pub, Lake Havasu City",192,193
"Devils Backbone Brewing, Lexington",193,194
"Angelic Brewing, Madison",194,195
"St. Ides Brewing, Fogelsville",195,196
"AC Golden Brewing Co., Golden",196,197
"Kona Brewing, Kailua-Kona",197,198
"Lucky Envelope Brewing, Seattle",198,199
"Devil’s Backbone Brewing Co., Roseland",199,200
"The Bellows Brew Crew, Watertown",200,201
"Brew Moon, Boston",201,202
"23rd Street Brewery, Lawrence",202,203
"BNS Brewing & Distilling Co., Santee",203,204
"Lewis & Clark Brewing Co., Helena",204,205
"Smartmouth Brewing Co., Norfolk",205,206
"Pig’s Eye Brewing Co., St. Paul",206,207
"Quincy Ships Brewing Company, Quincy",207,208
"Rock Bottom, Westminster",208,209
"Heavy Seas Beer, Baltimore",209,210
"Gigantic Brewing Co., Portland",210,211
"RAM Restaurant, Boise",211,212
"Port City Brewing Co., Alexandria",212,213
"G. Heileman Brewing, Fogelsville",213,214
"Thirsty Dog Brewing, Independence",214,215
"Jester King Brewery, Austin",215,216
"Pelican Pub, Pacific City",216,217
"Elk Mountain Brewing Co., Parker",217,218
"Perennial Artisan Ales, Saint Louis",218,219
"Boston Beer Co., Cincinnati",219,220
"Moose's Tooth, Anchorage",220,221
"Tequesta Brewing Co., Tequesta",221,222
"Eel River Brewing, Fortuna",222,223
"Duck-Rabbit Craft Brewery, Farmville",223,224
"Dells Brewing Co., Wisconsin Dells",224,225
"Red Eye Brewing Co., Wausau",225,226
"Olde Peninsula Brewpub & Restaurant, Kalamazoo",226,227
"Dogfish Head Brewery, Rehoboth Beach",227,228
"Big Dog’s Brewing Co., Las Vegas",228,229
"Oceanside Ale Works, Oceanside",229,230
"Leinenkugel Brewing, Chippewa Falls",230,231
"Union Craft Brewing, Baltimore",231,232
"Rockford Brewing Co. - Rockford, Rockford",232,233
"Heroes Restaurant and Brewery, Riverside",233,234
"Bristol Brewing, Colorado Springs",234,235
"Otter Creek Brewing, Middlebury",235,236
"Three Magnets Brewing, Olympia",236,237
"BJ's Grill & Brewery, Portland",237,238
"The Spoetzl Brewery, San Antonio",238,239
", ",239,240
"Far West Ireland Brewing Co., Redmond",240,241
"Fegley’s Allentown & Bethlehem Brew Works, Allentown",241,242
"Anderson Valley Brewing, Booneville",242,243
"Fox River Brewing, Oshkosh",243,244
"Samuel Adams Brewing, Cincinnati",244,245
"Desert Edge Brewery, Salt Lake City",245,246
"21st Amendment, San Francisco",246,247
"Listermann/Triple Digit Brewing Co., Cincinnati",247,248
"Engine House #9 Restaurant & Brewery, Tacoma",248,249
"Dillon Dam Brewery, Dillon",249,250
"Watch City Brewing Company, Waltham",250,251
"Thirsty Dog Brewing, N. Canton",251,252
"Schlitz Brewing, Fogelsville",252,253
"Firestone Walker, Paso Robles",253,254
"Funkwerks, Fort Collins",254,255
"75th Street Brewery, Lawrence",255,256
"Herkimer Pub and Brewery, Minneapolis",256,257
"Barley's Casino, Henderson",257,258
"Baxter Brewing Co., Auburn",258,259
"Cambridge Brewing, Cambridge",259,260
"The Duck-Rabbit Craft Brewery, Farmville",260,261
"America's Brewing Company, Aurora",261,262
"Seabright Brewery, Santa Cruz",262,263
"Durango Brewing Co., Durango",263,264
"Michelob Brewing Co., St. Louis",264,265
"Iron Springs Pub & Brewery, Fairfax",265,266
"Rogue Ales, Newport",266,267
"Steel Toe Brewing, St. Louis Park",267,268
"Founders Restaurant & Brewing Company, Alexandria",268,269
"Smoky Mountain Brewery, Knoxville",269,270
"Big Rock Chop House, Birmingham",270,271
"Trinity Brewing, Providence",271,272
"Caldera Brewing Co., Ashland",272,273
"Baker City Brewing Co., Baker City",273,274
"Tustin Brewing Co., Tustin",274,275
"Grimm Artisanal Ales, Brooklyn",275,276
"Cisco Brewers, Nantucket",276,277
"Northwoods Brewing Corp., Eau Claire",277,278
"Coors Archive Brewery, Golden",278,279
"On Tap Bistro & Brewery, San Diego",279,280
"The Prodigal Brewery, Effingham",280,281
"Moylan's Brewery, Novato",281,282
"Rock Bottom, La Jolla",282,283
"Santa Fe Brewing Co., Santa Fe",283,284
"Boscos, Memphis",284,285
"Trinity Brewing, Colorado Springs",285,286
"Champion Brewing Co., Charlottesville",286,287
"Black Tooth Brewing Co., Sheridan",287,288
"Stone Brewing, San Diego",288,289
"Eddyline Brewing, Buena Vista",289,290
"American Brewing Co., Edmonds",290,291
"Epic Brewing Co., Salt Lake City",291,292
"Devils Backbone Brewing, OutpostLexington",292,293
"Craftsman Brewing Co., Pasadena",293,294
"Pennsylvania Brewing, Pittsburgh",294,295
"MillerCoors, Milwaukee",295,296
"Fish Brewing Co., Olympia",296,297
"Cigar City Brewing, Tampa",297,298
"Maui Brewing, Maui",298,299
"Montana Brewing, Billings",299,300
"Burnside Brewing Co., Portland",300,301
"Breakside Brewery, Portland",301,302
"Blue Moon Brewing Co., Denver",302,303
"Magnolia Gastropub, San Francisco",303,304
"Etna Brewing Co., Etna",304,305
"Pabst Brewing, Woodridge",305,306
"Dale Bros Brewery, Upland",306,307
"Devils Backbone Brewing, Roseland",307,308
"Fifty, Fifty Brewing Co.Truckee",308,309
"TAPS Fish House & Brewery, Corona",309,310
"Wilmington Brewing Company, Wilmington",310,311
"Main Street Station, Las Vegas",311,312
"Mickey Finn's Brewery, Libertyville",312,313
"Coors Brewing, Golden",313,314
"Rochester Mills Beer Co., Rochester",314,315
"Revolution Brewing, Chicago",315,316
"Samuel Adams Brewing, Boston",316,317
"Gilded Otter Brewing Co., New Paltz",317,318
"Dark Horse Brewing Co., Marshall",318,319
"Emmett's Tavern, West Dundee",319,320
"Right Brain Brewery, Traverse City",320,321
"Barley Island Brewing Co., Fishers",321,322
"Clipper City Brewing, Baltimore",322,323
"The Detroit Beer Co., Detroit",323,324
"Three Notch’d Brewing Co., Charlottesville",324,325
"Oak Creek Brewing Co., Sedona",325,326
"Full Sail Brewing, Portland",326,327
"Bison Brewing Co., Berkeley",327,328
"Ghost River Brewing, Memphis",328,329
"Wolf Canyon Brewing Company, Santa Fe",329,330
"Plank Road Brewery, Milwaukee",330,331
"5 Rabbit Cerveceria, Chicago",331,332
"KettleHouse Brewing Co., Missoula",332,333
"High Water Brewing, Chico",333,334
"Station Casinos Breweries / Barley’s Casino & Brewing Company, Henderson",334,335
"Arcadia Brewing Co., Kalamazoo",335,336
"The Brooklyn Brewery, Brookyln",336,337
"Humboldt Brewery, Arcata",337,338
"Bitter End, Austin",338,339
"New Holland Brewing, Holland",339,340
"Hailstorm Brewing Co., Tinley Park",340,341
"Bulldog Brewing Co., Fresno",341,342
"Dry Dock Brewing, Aurora",342,343
"Blue Pants Brewery, Madison",343,344
"Fort Collins Brewery, Fort Collins",344,345
"The Mash House Restaurant & Brewing Company -, Fayetteville",345,346
"New Belgium Brewing, Fort Collins",346,347
"Monday Night Brewing, Atlanta",347,348
"Heretic Brewing Co., Pittsburg",348,349
"Black Forest Brew Haus LLC., Farmingdale",349,350
"Fire, House Grill & BrewerySunnyvale",350,351
"Altitude Chophouse and Brewery, Laramie",351,352
"BJ's Pizza Grill & Brewery, Brea",352,353
"Bear Republic Brewing, Cloverdale",353,354
"Faction Brewing Co., Alameda",354,355
"Zipline Brewing Co., Lincoln",355,356
"Ballast Point Brewing, San Diego",356,357
"Monkey Paw Brewing Co., San Diego",357,358
"Powerhouse Brewing, Sebastopol",358,359
"Alesmith Brewing Co., San Diego",359,360
"Redwood Curtain Brewing Co., Arcata",360,361
"Iron Hill Brewery, West Chester",361,362
"Bull & Bush Brewery, Denver",362,363
"Ham's Restaurant & Brewhouse, Greenville",363,364
"Rock Bottom, Louisville",364,365
"DuClaw Brewing Co., Bel Air",365,366
"Gordon Biersch Brewery, Rockville/Broomfield",366,367
"Bell’s Brewery, Galesburg",367,368
"Marble Brewery, Albuquerque",368,369
"Prescott Brewing, Prescott",369,370
"Nectar Ales, Paso Robles",370,371
"Former Future Brewing Co., Denver",371,372
"Blue Corn Brewery, Santa Fe",372,373
"Goose Island Beer Co., Chicago",373,374
"Newport Beach Brewing, Newport Beach",374,375
"Half Acre Beer Co., Chicago",375,376
"Rohrbach Brewing Co., Rochester",376,377
"Honolulu Brewing Company LLC, Honolulu",377,378
"Societe Brewing Co., San Diego",378,379
"Rock Bottom, Campbell",379,380
"Fegley’s Brew Works, Allentown",380,381
"Valhalla Microbrewery, Pittsburgh",381,382
"The Austin Beer Garden Brewing Co., Austin",382,383
"Snipes Mountain Brewing, Sunnyside",383,384
"Panther Island Brewing Co., Fort Worth",384,385
"John Harvard's Brew House, Springfield",385,386
"WeldWerks Brewing Co., Greeley",386,387
"Mammoth Brewing, Mammoth",387,388
"Institution Ale Co., Camarillo",388,389
"Allentown/Bethlehem Brew Works, Allentown",389,390
"Platt Park Brewing Co., Denver",390,391
"Lone Star Brewing, Milwaukee",391,392
"Fargo Brewing Co., Fargo",392,393
"Boise Brewing, Boise",393,394
"Rock Bottom, Chicago",394,395
"Offshore Ale Company, Oak Bluffs",395,396
"Starr Hill Brewing, Charlottesville",396,397
"SLO Brewing, San Luis Obispo",397,398
"Native Brewing Company, Alexandria",398,399
"Gella's Diner & Liquid Bread Brewing Co., Hays",399,400
"Mazama Brewing Co., Corvallis",400,401
"Alpine Beer, Alpine",401,402
"Barley Brothers Brewery, Baker City",402,403
"O’so Brewing, Plover",403,404
"RAM Restaurant, Seattle",404,405
"Lawson’s Finest Liquids, Warren",405,406
"Wild Duck Brewery & Restaurant, Eugene",406,407
"Far West Brewing Co., Redmond",407,408
"5 Stones Artisan Brewery, Cibolo",408,409
"Saranac/F., X. Matt Brewing Co.Utica",409,410
"Carbondale Craft Beer, Carbondale",410,411
"Bootstrap Brewing Co., Niwot",411,412
"Summit Brewing, St. Paul",412,413
"Empire Brewing Company of Syracuse, Syracuse",413,414
"The Oyster Bar Bistro & Brewery, Fort Wayne",414,415
"Marley’s Brewery & Grille, Bloomsburg",415,416
"Unique Beers, Orlando",416,417
"Captain Lawrence Brewing, Pleasantville",417,418
"Carolina Brewery, Chapel Hill",418,419
"Valley Brewing Co., Stockton",419,420
"Fulton Beer, Minneapolis",420,421
"Yellow Springs Brewery, Yellow Springs",421,422
"Fremont Brewing Co., Seattle",422,423
"Canteen Brewhouse, Albuquerque",423,424
"The Brew Kettle, Strongsville",424,425
"Bastone Brewery, Royal Oak",425,426
"DOG Brewing Co., Westminster",426,427
"Babe’s Bar-B-Que & Brewhouse, Rancho Mirage",427,428
"Grand Teton Brewing, Victor",428,429
"Ritual Brewing Co., Redlands",429,430
"49th State Brewing Co., Denali National Park",430,431
"Bend Brewing, Bend",431,432
"Bier Brewery, Indianapolis",432,433
"Boulevard Brewing, Kansas City",433,434
"Black Diamond Brewing Co., Concord",434,435
"Pumphouse Brewery, Longmont",435,436
"Port Brewing Co., San Marcos",436,437
"Anheuser-Busch, Fort Collins",437,438
"Schlitz Brewing, San Antonio",438,439
"Carter’s Brewing, Billings",439,440
"SandLot Brewery at Coors Field, Denver",440,441
"Jos. Schlitz Brewing Company, Fogelsville",441,442
"Casco Bay Brewing Company, Portland",442,443
"Pagosa Brewing, Pagosa Springs",443,444
"CB & Potts Restaurant & Brewery, Highlands Ranch",444,445
"Outer Banks Brewing Co., Kill Devil Hills",445,446
"Fitger’s Brewhouse, Duluth",446,447
"75th Street Brewery, Kansas City",447,448
"The Rare Barrel, Berkeley",448,449
"Santa Barbara Brewing, Santa Barbara",449,450
"Rock Bottom, Braintree",450,451
"Real Ale Brewing Co., Blanco",451,452
"Starr Hill Brewing, Crozet",452,453
"Columbus Brewing Co., Columbus",453,454
"Wit’s End Brewing Co., Denver",454,455
"Nebraska Brewing Co., Papillion",455,456
"Airways Brewing Co., Kent",456,457
"Holy City Brewing, North Charleston",457,458
"Russian River Brewing, Guerneville",458,459
"Hoppy Brewing, Sacramento",459,460
"Badger Hill Brewing, St. Louis Park",460,461
"Four Peaks Brewing, Tempe",461,462
"Dogfish Head Brewery, Milton",462,463
"Haverhill Brewery, Haverhill",463,464
"Aftershock Brewing Co., Temecula",464,465
"Joseph James Brewing Co., Henderson",465,466
"BJ's Restaurant & Brewery, Reno/Chandler/Huntington Beach",466,467
"Figueroa Mountain Brewing, Buellton",467,468
"Holy City Brewing, Charleston",468,469
"Stroh Brewery, San Antonio",469,470
"Uncle Billy’s Brew & Que, Austin",470,471
"Tenaya Creek Brewery, Las Vegas",471,472
"Iron Hill Brewery, Lancaster",472,473
"Smylie Brothers Brewing Co., Evanston",473,474
"Pizza Port, Ocean Beach",474,475
"Pug Ryan's Brewery, Dillon",475,476
"Ground Breaker Brewing, Portland",476,477
"Colorado Boy Brewing Co., Ridgway",477,478
"Hale's Ales, Seattle",478,479
"Dillon DAM Brewery, Dillon",479,480
"Aardwolf Brewing Co., Jacksonville",480,481
"Breckenridge Brewery, Denver",481,482
"Peticolas Brewing Co., Dallas",482,483
"Squatters, Salt Lake City",483,484
"Blue Corn Brewery, Albuquerque",484,485
"SweetWater Brewing Co., Atlanta",485,486
"Great South Bay Brewery, Bay Shore",486,487
"Denver Beer Company, Denver",487,488
"Sly Fox Brewhouse, Phoenixville",488,489
"Oskar Blues, Longmont",489,490
"Weasel Boy Brewing Co., Zanesville",490,491
"Bullfrog Brewery, Williamsport",491,492
"Park Slope Brewing Company, Brooklyn",492,493
"Max Lager’s Wood-Fired Grill & Brewery, Atlanta",493,494
"Nodding Head Brewing, Philadelphia",494,495
"Kootenai River Brewing Co., Bonners Ferry",495,496
"Brugge Brasserie, Indianapolis",496,497
"RAM Restaurant & Brewery, SeattleSeattle",497,498
"Boscos Brewing, Memphis",498,499
"Blackberry Farm Brewery, Walland",499,500
"Elk Grove Brewery, Elk Grove",500,501
"Hoppin’ Frog Brewing Co., Akron",501,502
"Austin Beerworks, Austin",502,503
"Bohemian Brewery, Midvale",503,504
"HofbrauHaus Brewery and Biergarten at Station Casino, Kansas City",504,505
"Rock Bottom, Phoenix",505,506
"Huss Brewing, Tempe",506,507
"Golden Valley Brewery and Pub, McMinnville",507,508
"Diebolt Brewing Co., Denver",508,509
"Thai Me Up Brewery, Jackson",509,510
"Devils Backbone Brewing, Outpost",510,511
"Short’s Brewing Co., Elk Rapids",511,512
"Telluride Brewing Co., Telluride",512,513
"Alameda Brewhouse, Portland",513,514
"Pizza Port, San Diego",514,515
"Jarre Creek Ranch Brewery, Castle Rock",515,516
"Stoudt's Brewing, Adamstown",516,517
"BJ's Restaurant & Brewery, Jantzen Beach/Lloyd Center/Clear Lake",517,518
"Odell Brewing, Fort Collins",518,519
"Big Horn Brewing, Tacoma",519,520
"New River Brewing, Blacksburg",520,521
"Thr3e Wise Men Brewing Co., Indianapolis",521,522
"Rock Bottom, Seattle",522,523
"The Lost Abbey, San Marcos",523,524
"Brothers Craft Brewing, Harrisonburg",524,525
"Rock Bottom, Arlington",525,526
"Custom Brew Crafters, Honeoye Falls",526,527
"Main Street Brewery, Corona",527,528
"Big Horn Brewing, Addison",528,529
"Eugene City Brewery, Eugene",529,530
"Stormcloud Brewing Co., Frankfort",530,531
"BJ's Restaurant & Brewery, ChandlerChandler",531,532
"Dogwood Brewing Co., Atlanta",532,533
"Big Horn Brewing, Lakewood",533,534
"Rio Salado Brewing Company, Tempe",534,535
"Black Project Spontaneous & Wild Ales, Denver",535,536
"Mountain Sun Pub, Boulder",536,537
"Wind River Brewing Co., Pinedale",537,538
"Kern River Brewing, Kernville",538,539
"The Covey Restaurant & Brewery, Fort Worth",539,540
"Moon River Brewing Co., Savannah",540,541
"Hopworks Urban Brewery, Portland",541,542
"Pearl Brewing Co., Fort Worth",542,543
"Steelhead Brewery, Eugene",543,544
"Il Vicino Brewing, Albuquerque",544,545
"Bagby Beer Co., Oceanside",545,546
"Smog City Brewing, Torrance",546,547
"Lakefront Brewery, Milwaukee",547,548
"Rogue Ales, Portland",548,549
"Glenwood Canyon Brewing, Glenwood",549,550
"Castle Springs Brewing, Moultonborough",550,551
"River’s Edge Brewing Co., Milford",551,552
"RAM Restaurant, Schaumburg",552,553
"Smugglers Brewpub, Telluride",553,554
"Redhook Ale Brewery, Woodinville",554,555
"Uinta Brewing, Salt Lake City",555,556
"John Harvard's Brew House, Wayne",556,557
"Old Town Brewing, Portland",557,558
"Flyers Restaurant and Brewery, Oak Harbor",558,559
"Horse Thief Hollow, Chicago",559,560
"New River Brewing, Atlanta",560,561
"Napa Smith Brewery, Napa",561,562
"Peekskill Brewery, Peekskill",562,563
"Central Waters Brewing Co., Junction City",563,564
"C. H. Evans Brewing, Albany",564,565
"Telegraph Brewing Co., Santa Barbara",565,566
"Portland Brewing, Portland",566,567
"Iron Hill Brewery, Newark",567,568
"Steelhead Brewery, Burlingame",568,569
"Gibb’s Hundred Brewing Co., Greensboro",569,570
"Back Forty Beer Co., Gadsden",570,571
"Dogfi sh Head Craft Brewery, Milton",571,572
"Blitz-Weinhard Brewing, Tumwater",572,573
"Bosque Brewing Co., Albuquerque",573,574
"Harvester Brewing, Portland",574,575
"von Trapp Brewing, Stowe",575,576
"Wynkoop Brewing, Denver",576,577
"Saint Archer Brewing Co., San Diego",577,578
"Fat Heads Brewery, Middleburg Heights",578,579
"Strange Brewing Co., Denver",579,580
"Left Hand Brewing Co., Longmont",580,581
"Holy Cow! Casino Café & Brewery, Las Vegas",581,582
"Snow Goose Restaurant and Sleeping Lady Brewing Company, Anchorage",582,583
"Oasis Brewery, Boulder",583,584
"Salem Beer Works, Salem",584,585
"Blue Moon Brewing Co., Golden",585,586
"BJ's Restaurant & Brewery, Woodland Hills",586,587
"Melvin Brewing, Jackson",587,588
"Stewart's Brewing Co., Bear",588,589
"Spanish Springs Brewing, The Villages",589,590
"Kettlehouse Brewing Co., Missoula",590,591
"The Bruery, Placentia",591,592
"Fate Brewing Co., Scottsdale",592,593
"New English Brewing Co., San Diego",593,594
"FiftyFifty Brewing Co., Truckee",594,595
"RAM International/Big Horn Brewing, Lakewood",595,596
"Mammoth Brewing, Mammoth Lakes",596,597
"Triple Rock Brewery, Berkeley",597,598
"Beaver St. Brewery, Flagstaff",598,599
"Delafield Brewhaus, Delafield",599,600
"Pinthouse Pizza, Austin",600,601
"Fat Head’s Brewery - N. Olmstead, North Olmsted",601,602
"Redhook Ale Brewery, Portsmouth",602,603
"Morgan Street Brewery, Saint Louis",603,604
"Red Brick-Atlanta Brewing Co., Atlanta",604,605
"Drake's Brewing, San Leandro",605,606
"Twisted Pine Brewing Co., Boulder",606,607
"Full Pint Brewing Co., North Versailles",607,608
"Crow Hop Brewing Co., Loveland",608,609
"Diamondback Brewery, Cleveland",609,610
"BJ's Restaurant & Brewery, AZ/Boulder",610,611
"RJ Rockers Brewing Co., Spartanburg",611,612
"New Road Brew House, Collegeville",612,613
"Colorado Brewery & Trading Co., Danbury",613,614
"Port Brewing & The Lost Abbey, San Marcos",614,615
"Brickstone Brewery, Bourbonnais",615,616
"Empire Brewing Co. of Rochester, Rochester",616,617
"Colorado Brewing Co./Draft House, Boulder",617,618
"Tapistry Brewing Co., Bridgman",618,619
"5 Rabbit Cerveceria, Bedford Park",619,620
"Foothills Brewing, Winston-Salem",620,621
"Prost Brewing, Denver",621,622
"Sly Fox Brewhouse, Pottstown",622,623
